"Origin","Destination","YEAR","MS_ALL_TOT","MS_MAL_TOT","MS_MAL_LOW","MS_MAL_MED","MS_MAL_HIG","MS_FEM_TOT","MS_FEM_LOW","MS_FEM_MED","MS_FEM_HIG","MR_ALL_TOT","MR_MAL_TOT","MR_MAL_LOW","MR_MAL_MED","MR_MAL_HIG","MR_FEM_TOT","MR_FEM_LOW","MR_FEM_MED","MR_FEM_HIG","NS_ALL_TOT","NS_MAL_TOT","NS_MAL_LOW","NS_MAL_MED","NS_MAL_HIG","NS_FEM_TOT","NS_FEM_LOW","NS_FEM_MED","NS_FEM_HIG","RS_ALL_TOT","RS_MAL_TOT","RS_MAL_LOW","RS_MAL_MED","RS_MAL_HIG","RS_FEM_TOT","RS_FEM_LOW","RS_FEM_MED","RS_FEM_HIG"
"Bulgaria","Oecd",1990,361508.887368719,191178.126227576,119362.328021904,36208.7777366671,35607.0204690044,170330.761141143,116813.640459005,29322.1661878241,24194.9544943137,0.0595362829019406,0.0648287548586944,0.102766598428794,0.0282605057297366,0.0703374355690769,0.0545389026719692,0.0618062746283838,0.0356304024058766,0.0589896757253601,6072076.88736872,2948971.12622758,1161489.52915484,1281250.16880243,506231.428270306,3123105.76114114,1889996.46332607,822953.551122059,410155.746693012,5710568,2757793,1042127.20113293,1245041.39106577,470624.407801302,2952775,1773182.82286707,793631.384934234,385960.792198698
"Burkina Faso","Oecd",1990,3703.1309784616,2605.59372705579,1531.15849111776,291.04823718664,783.386998751389,1097.53725140581,684.634922781974,134.042420009901,278.859908613935,0.00133120716924899,0.00191406979779441,0.00131121186543236,0.00195273615609152,0.0176060963775338,0.000772641752160996,0.000505509942948204,0.00231304785391322,0.0339913065441829,2781784.13097846,1361284.59372706,1167743.01048052,149046.370795522,44495.2124510137,1420499.53725141,1354345.11691123,57950.5606782532,8203.85966192457,2778081,1358679,1166211.8519894,148755.322558336,43711.8254522623,1419402,1353660.48198845,57816.5182582433,7924.99975331063
"Burma (Myanmar)","Oecd",1990,37015.2792645308,18467.5414757294,4684.04410955695,3033.0539971576,10750.4433690149,18547.7377888013,6301.34448437918,3951.07526868235,8295.31803573982,0.00213326409822714,0.00216775700491134,0.000701440056304312,0.00189427410252535,0.0447431695137194,0.00209999390185269,0.000808108954266682,0.00474636663024578,0.0410258258838593,17351475.2792645,8519193.54147573,6677753.95410956,1601169.54199716,240270.045369015,8832281.7377888,7797642.20048438,832442.071268682,202197.46603574,17314460,8500726,6673069.91,1598136.488,229519.602,8813734,7791340.856,828490.996,193902.148
"Burundi","Oecd",1990,2696.32931517582,1474.37054638472,443.520671659742,240.246330018528,790.603544706445,1221.95876879111,503.476401645311,264.328473602815,454.153893542983,0.00132856871457339,0.00156506717427091,0.000494034696381061,0.00724498310430694,0.0709893703216971,0.00112369195376549,0.000471782358866492,0.014981230223146,0.172904965697203,2029499.32931518,942049.370546385,897752.07067166,33160.3713300185,11136.9285447064,1087449.95876879,1067179.37240165,17643.9764736028,2626.60989354298,2026803,940575,897308.55,32920.125,10346.325,1086228,1066675.896,17379.648,2172.456
"Cambodia","Oecd",1990,134311.950236093,65799.6478912802,40444.5030859829,7776.89337114515,17578.2514341521,68512.3023448123,52557.2930394961,6649.0413909645,9305.96791435171,0.035915839808592,0.0405111961426898,0.0302265020892209,0.0346752017626929,0.283943101912564,0.0323874549033057,0.0276816225459523,0.0418092686685603,0.161201622364954,3739629.95023609,1624233.64789128,1338047.74917723,224278.244272895,61907.6544411531,2115396.30234481,1898634.84166253,159032.712188157,57728.7484941274,3605318,1558434,1297603.24609125,216501.35090175,44329.403007001,2046884,1846077.54862303,152383.670797193,48422.7805797757
"Cameroon","Oecd",1990,22621.6902365042,13198.893549796,3256.90443340511,1955.04231209619,7986.94680429469,9422.79668670818,4087.72155652149,1630.3016171085,3704.77351307819,0.00534351151857026,0.00642434203807351,0.00180364257542418,0.00958142117025142,0.178556670775618,0.00432441747423432,0.00196902798625248,0.0175770943857289,0.362735505085169,4233487.6902365,2054512.8935498,1805737.16643341,204045.128312096,44730.5988042947,2178974.79668671,2076009.88155652,92751.4856171085,10213.4295130782,4210866,2041314,1802480.262,202090.086,36743.652,2169552,2071922.16,91121.184,6508.656
"Canada","Oecd",1990,838677.252206564,350606.381007065,94187.5011827345,73387.2502055636,183031.629618767,488070.871199499,138965.829202502,130730.282349531,218374.759647465,0.0447433220858649,0.0386599515730985,0.0599029706399805,0.0216704059615184,0.0445318608420045,0.0504455230463707,0.0822073167813111,0.0339797319842508,0.0527797332728715,18744188.2522066,9068981.38100706,1572334.39638254,3386519.40050788,4110127.58411665,9675206.8711995,1690431.3952027,3847301.75064722,4137473.72534958,17905511,8718375,1478146.8951998,3313132.15030231,3927095.95449789,9187136,1551465.5660002,3716571.46829769,3919098.96570212
"Cape Verde","Oecd",1990,40714.6683685678,19802.2652070472,14879.6173709841,2952.26666853441,1970.38116752864,20912.4031615206,16990.3056962404,2357.23491683322,1564.86254844692,0.258421055074594,0.291534478093886,0.254029389203286,0.416354131700355,0.872192325665624,0.233325996557477,0.210565038449879,0.34200371353719,0.764889471771941,157551.668368568,67924.2652070472,58574.3933709841,7090.7586685344,2259.11316752864,89627.4031615206,80689.1106962404,6892.42491683322,2045.86754844692,116837,48122,43694.776,4138.492,288.732,68715,63698.805,4535.19,481.005
"Central African Republic","Oecd",1990,3104.96699898289,1816.50206409076,611.014925796519,243.876886122992,961.610252171253,1288.46493489213,850.906771184448,223.14338993755,214.414773770129,0.0027032811374221,0.00339545470738137,0.00135120229707444,0.00382910004274959,0.0503746068307064,0.00209980583565016,0.00144544632883683,0.011259927942746,0.0419352288660981,1148591.96699898,534980.502064091,452200.922925796,63690.392886123,19089.1862521713,613611.464934892,588680.986771184,19817.4793899375,5112.99877377013,1145487,533164,451589.908,63446.516,18127.576,612323,587830.08,19594.336,4898.584
"Chad","Oecd",1990,1606.26539938296,1029.48826706266,352.658805810594,128.582631720101,548.246829531962,576.777132320302,336.795430345181,96.2794811632831,143.702220811838,0.000747890422294305,0.000994791445309264,0.000349736604760053,0.0061802044960834,0.0958893944894088,0.000518288401698374,0.000305455861078822,0.0107043050833345,0.11441485343871,2147728.26539938,1034878.48826706,1008355.43380581,20805.5626317201,5717.49182953196,1112849.77713232,1102599.33843035,8994.46348116328,1255.97522081184,2146122,1033849,1008002.775,20676.98,5169.245,1112273,1102262.543,8898.184,1112.273
